2.96301，5.88113，-0.204605,1.7263，3.74117，-0.308848,1.33885，4.94479，0.839269
2.94791，5.49107，-0.214817,1.7263，3.74117，-0.308848,2.83487，5.82467，0.086891
1.7263，3.74117，-0.308848,2.96177，5.87271，0.088472,2.83487，5.82467，0.086891
1.07696，4.46893，-0.245841,2.20575，5.23452，-0.222921,2.94749，5.54132，-0.213602
1.99903，3.599，0.027758,1.07696，4.46893，-0.245841,2.94749，5.54132，-0.213602
1.04299，4.16453，0.040755,1.99903，3.599，0.027758,2.94749，5.54132，-0.213602
0，0，0,1.04299，4.16453，0.040755,2.94749，5.54132，-0.213602
1.12003，3.89027，-0.411092,1.32752，4.16292，-0.402869,1.65447，3.82387，-0.260545
2.64175，5.86106，0.08727,2.96301，5.88113，-0.204605,1.33885，4.94479，0.839269
1.58025，3.90826，-0.408073,2.32947，5.16196，0.356984,2.44992，5.15951，0.357265
2.28002，5.78436，-0.209099,2.27944，5.7765，0.084081,2.7961，5.49983，-0.226754
2.50254，5.4894，0.365394,1.58025，3.90826，-0.408073,2.44992，5.15951，0.357265
2.21667，5.15055，0.356372,2.50254，5.4894，0.365394,2.44992，5.15951，0.357265
2.2041，5.21968，0.357652,1.72542，3.72716，0.318418,1.73193，3.81568，0.328592
1.73193，3.81568，0.328592,1.65095，3.88753，0.472744,1.65282，3.80902，0.320027
1.62086，3.88999，0.344872,1.87484，4.99908，0.351531,1.95513，5.05558，0.353204
1.95513，5.05558，0.353204,1.9322，5.10275，0.353892,2.03573，5.09735，0.354499
2.03573，5.09735，0.354499,2.01614，5.14988，0.355334,2.12084，5.12901，0.355551
2.12084，5.12901，0.355551,2.50254，5.4894，0.365394,2.21667，5.15055，0.356372
1.53961，4.38727，0.334677,1.47543，4.39178，0.484391,2.10437，5.18847，0.356571
1.55869，4.2707，0.482367,1.56423，4.50582，0.338037,1.47543，4.39178，0.484391
1.56423，4.50582，0.338037,1.50905，4.5197，0.337787,1.59723，4.62157，0.341096
1.54944，4.64048，0.34099,1.64678，4.73121，0.344038,1.71167，4.83251，0.346812
1.59723，4.62157，0.341096,1.61129，4.75312，0.350651,1.54944，4.64048，0.34099
1.69671，4.84875，0.356291,1.85326，5.03786，0.354879,1.62086，3.88999，0.344872
1.71167，4.83251，0.346812,1.77752，4.94115，0.362122,1.69671，4.84875，0.356291
1.79068，4.92326，0.349354,1.80202，3.73074，0.318739,1.92612，3.5893，0.361369
1.80202，3.73074，0.318739,2.2041，5.21968，0.357652,1.92612，3.5893，0.361369
2.10602，5.20331，-0.224002,2.28002，5.78436，-0.209099,2.7961，5.49983，-0.226754
2.68744，5.1177，0.068405,1.79291，4.92936，0.061058,1.33885，4.94479，0.839269
2.94626，5.4762，0.366874,3.08009，5.55169，0.369045,1.72439，3.72394，0.364433
3.08259，5.47669，0.367074,2.94626，5.4762，0.366874,1.72439，3.72394，0.364433
1.53961，4.38727，0.334677,2.10437，5.18847，0.356571,2.83405，5.81735，0.375202
1.66863，3.89369，0.332097,1.53961，4.38727，0.334677,2.83405，5.81735，0.375202
1.4803，4.13625，0.502229,1.66863，3.89369，0.332097,2.83405，5.81735，0.375202
1.6617，5.36128，-0.713128,1.4803，4.13625，0.502229,2.83405，5.81735，0.375202
1.65282，3.80902，0.320027,1.61465，4.02303，0.476194,1.5825，4.15249，0.479414
2.6884，5.12552，-0.224803,2.68744，5.1177，0.068405,1.33885，4.94479，0.839269
2.20592，5.64485，0.078047,1.31353，4.6003，-0.302514,2.29626，5.56841，0.076349
2.11479，5.3629，-0.312263,2.02437，5.43859，-0.279068,1.49704，4.82454，-0.647589
1.31154，4.58235，0.399677,2.20592，5.64485，0.078047,2.02238，5.42064，0.423123
2.02437，5.43859，-0.279068,2.11262，5.34334，0.452919,1.92898，5.11828，0.829488
1.92898，5.11828，0.829488,1.83884，5.19642，0.768197,1.31354，4.91565，0.780273
1.49306，4.78864，0.756793,2.02238，5.42064，0.423123,1.58319，4.71049，0.818083
1.83884，5.19642，0.768197,1.31154，4.58235，0.399677,1.49306，4.78864，0.756793
1.31354，4.91565，0.780273,2.02238，5.42064，0.423123,1.92898，5.11828，0.829488
1.58753，4.74961，-0.712279,1.49704，4.82454，-0.647589,1.29292，4.9164，-0.606718
1.84283，5.23232，-0.636183,1.31353，4.6003，-0.302514,1.93332，5.1574，-0.700874
1.58753，4.74961，-0.712279,1.31353，4.6003，-0.302514,2.11479，5.3629，-0.312263
1.29292，4.9164，-0.606718,2.29626，5.56841，0.076349,1.84283，5.23232，-0.636183
2.64267，5.86899，-0.205906,1.92698，3.59722，0.02778,3.08296，5.48449，0.078895
